id,depth,description,height,image_id,media,width,year_created
1,0,"A half-length portrait of a woman, believed to be Lisa Gherardini, with a mysterious and enigmatic smile. The painting is renowned for its technical mastery, including the use of sfumato to create soft, smoky transitions between colors.",30,42526,"Oil on poplar wood panel",21,1503-1519
2,0,"A view from Van Gogh's asylum room window at Saint-Rémy-de-Provence, France. It is characterized by its swirling, turbulent sky, a glowing moon, and a dominant cypress tree in the foreground.",29,15497,"Oil on canvas",36.25,1889
3,0,"A massive mural depicting the dramatic moment after Jesus announces that one of his disciples will betray him. The painting captures the various reactions of the apostles in a highly detailed and emotional manner.",181,92845,"Tempera and oil on gesso, pitch, and mastic",346,1495-1498
4,0,"A captivating portrait of a young woman with a blue and yellow turban and a large, luminous pearl earring. The painting is known for its exquisite use of light and the subject's direct, engaging gaze.",17.5,11743,"Oil on canvas",15.375,"c. 1665"
5,0,"A haunting and psychologically intense image of a figure with an agonized expression against a swirling, blood-red sky. It is an icon of modern art, representing the universal feeling of anxiety.",36,44816,"Oil, tempera, and pastel on cardboard",29,1893
6,0,"A powerful, large-scale black-and-white mural depicting the suffering of people and animals caused by the bombing of Guernica during the Spanish Civil War. It is a powerful political statement and a symbol of the horrors of war.",137.4,73621,"Oil on canvas",305.5,1937
7,0,"A dreamlike landscape populated by melting pocket watches, representing the relativity of time. It is one of the most recognizable works of the Surrealist movement.",9.5,63902,"Oil on canvas",13,1931
8,0,"The first full-scale painting of a nude female figure since antiquity, it depicts the goddess Venus emerging from the sea, fully grown. The work is celebrated for its ethereal beauty and classical inspiration.",68,63902,"Tempera on canvas",109.5,1485-1486
9,0,"A hazy depiction of the port of Le Havre, France, at dawn. The painting, with its loose brushstrokes and focus on light and color over detail, gave the Impressionist movement its name.",18.9,82730,"Oil on canvas",24.8,1872
10,0,"A portrait of a farmer and his spinster daughter standing in front of a white farmhouse in the Carpenter Gothic architectural style. The painting has become an American cultural icon.",30.75,34382,"Oil on beaverboard",25.75,1930
11,0,"A large-scale group portrait of a militia company. The painting is famous for its dynamic composition, dramatic use of light and shadow (chiaroscuro), and lively sense of motion.",143.5,18847,"Oil on canvas",172,1642
12,0,"A complex and highly detailed triptych (three-panel painting) that depicts a narrative from left to right: a serene Garden of Eden, a crowded central panel filled with bizarre figures and fantastic scenes, and a horrifying depiction of Hell.",81,38167,"Oil on oak panel",152,1490-1510
13,0,"A formal portrait of the artist's mother, Anna McNeill Whistler, seated in profile. The work is an exercise in tone and composition, focusing on the subtle variations of color and form.",56.81,52419,"Oil on canvas",63.94,1871
14,0,"A powerful allegorical painting commemorating the July Revolution of 1830 in France. It features Liberty, personified as a woman carrying the tricolor flag, leading a crowd of revolutionaries over the bodies of the fallen.",102.3,63929,"Oil on canvas",127.95,1830
15,0,"A series of paintings depicting sunflowers in vases, these works were created while Van Gogh was in Arles, France. The vibrant yellow colors and thick brushstrokes are a hallmark of his style.",37.4,59288,"Oil on canvas",28.7,1888-1889
16,0,"Part of a large series of paintings, this work captures the tranquil and reflective surface of Monet's water garden in Giverny, France. The paintings are characterized by their focus on light, color, and the fleeting nature of perception.",40,11775,"Oil on canvas",79,1919
17,0,"The painting shows a group of people sitting inside a brightly lit diner late at night. The scene has a sense of isolation and urban melancholy, as the figures appear disconnected from each other and the dark city outside.",33.1,42868,"Oil on canvas",60,"c. 1942"
18,0,"A complex and enigmatic work, the painting features a portrait of the Infanta Margarita Teresa, attended by her maids of honor (meninas). Velázquez himself is visible in the background, painting on a large canvas.",125.2,64721,"Oil on canvas",108.7,1656
19,0,"This painting depicts a couple locked in a tender embrace, their bodies covered in elaborate, shimmering robes of gold and intricate patterns. The work is a prime example of Klimt's "Golden Phase" and symbolizes love and eternity.",70.8,59372,"Oil on canvas with gold leaf",70.8,1907-1908
20,0,"One of the most famous panels on the Sistine Chapel ceiling, it shows God's finger reaching out to give life to Adam's outstretched hand. The powerful imagery symbolizes the divine spark of life being transferred to humanity.",189,48572,Fresco,90.5,"c. 1511"
21,55,"This sculpture depicts the biblical hero David before his battle with Goliath. The statue's contrapposto pose and intense gaze capture a moment of psychological tension rather than triumph.",204,82171,Marble,78,"c. 1501-1504"
22,24,"A depiction of the Greek goddess of love and beauty, Aphrodite (or the Roman Venus), this statue is renowned for its graceful and elegant form, despite its missing arms. It is one of the most famous examples of Hellenistic art.",80,39283,Marble,26.5,"c. 130-100 BCE"
23,55.25,"Originally a part of a larger work called The Gates of Hell, this sculpture shows a nude male figure in deep contemplation. The intense musculature of the figure suggests an internal struggle.",79,74001,Bronze,51.25,"c. 1880-1904"
24,36,"This masterpiece depicts the Virgin Mary cradling the body of Jesus after his crucifixion. The work is noted for its realistic detail and the serene, youthful appearance of Mary.",68.5,33281,Marble,76.8,"c. 1498-1499"
25,81,"A dramatic and theatrical sculpture, it portrays a moment from the autobiography of Saint Teresa of Ávila, in which she describes being pierced by a fire-tipped arrow from an angel, causing spiritual rapture.",138,28857,Marble,110,"c. 1647-1652"
26,33.4,"Commissioned for a museum of decorative arts, these monumental doors were never completed in Rodin's lifetime. They contain numerous smaller, tormented figures inspired by Dante's Inferno, including versions of The Thinker and The Kiss.",250,50174,Bronze,158,"c. 1880-1917"
27,200,"A symbol of Christianity and a cultural icon of both Rio de Janeiro and Brazil, this colossal statue of Jesus Christ stands with his arms outstretched, overlooking the city from the top of Corcovado Mountain.",1176,94518,"Reinforced concrete and soapstone",1104,"c. 1922-1931"
